retrieval_time,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,total
06.03.2020 07:00,91,79,15,1,3,8,15,5,18,281,8,1,1,,7,1,534
06.03.2020 15:00,96,117,19,2,4,11,16,5,18,329,10,2,2,,7,1,639
07.03.2020 08:00,116,117,24,2,4,12,16,5,19,346,10,2,2,,8,1,684
07.03.2020 15:00,170,134,28,2,4,13,17,5,19,373,13,3,4,,8,2,795
08.03.2020 08:00,182,148,28,2,4,13,17,7,21,392,15,4,4,,8,2,847
09.03.2020 08:00,199,256,40,6,4,17,20,8,33,484,19,5,10,,9,2,1112
09.03.2020 15:00,204,256,48,6,4,17,26,10,38,484,17,6,12,,9,2,1139
10.03.2020 21:30,237.0,314.0,48.0,9.0,4.0,29.0,35.0,13.0,49.0,484.0,25.0,7.0,22.0,7.0,9.0,4.0,1296.0
11.03.2020 18:10,277.0,366.0,90.0,24.0,21.0,48.0,48.0,17.0,75.0,484.0,25.0,14.0,26.0,15.0,27.0,10.0,1567.0
12.03.2020 19:30,454.0,500.0,137.0,30.0,38.0,88.0,99.0,23.0,129.0,688.0,52.0,14.0,45.0,27.0,31.0,14.0,2369.0
13.03.2020 18:45,454.0,558.0,174.0,44.0,42.0,99.0,148.0,33.0,230.0,936.0,102.0,40.0,83.0,42.0,48.0,29.0,3062.0
14.03.2020 20:00,569,681,216,61,50,158,203,45,253,1154,121,40,93,45,60,46,3795
15.03.2020 18:25,827,886,265,84,53,162,286,50,287,1407,168,32,130,47,103,51,4838
16.03.2020 19:00,1105,1067,300,94,56,260,342,51,391,1541,325,85,140,77,123,55,6012
17.03.2020 19:20,1479,1109,345,73,57,310,373,45,325,2105,442,75,182,58,127,51,7156
18.03.2020 10:30,1609,1243,391,92,69,358,432,56,478,2372,474,88,198,105,159,74,8198
19.03.2020 10:00,2155,1692,573,134,80,432,682,98,669,3033,637,99,275,140,202,98,10999
20.03.2020 10:00,2746,2401,731,192,121,586,813,131,803,3497,801,146,394,180,266,149,13957
21.03.2020 10:00,3668,2960,866,254,142,587,1080,165,1023,3542,938,187,567,188,308,187,16662
22.03.2020 10:00,3807,3650,1024,274,165,872,1175,172,1306,3545,1053,187,606,211,347,216,18610
