retrieval_time,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,total
09.03.2020 15:00,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,2
11.03.2020 18:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,nan,0.0,0.0,3.0
12.03.2020 19:30,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
13.03.2020 18:45,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
14.03.2020 20:00,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8
15.03.2020 18:25,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12
16.03.2020 19:00,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13
17.03.2020 19:20,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12
18.03.2020 10:30,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12
19.03.2020 10:00,6,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,20
20.03.2020 10:00,10,12,0,0,0,0,1,0,0,6,1,0,0,0,1,0,31
21.03.2020 10:00,16,19,1,0,0,0,2,0,0,6,1,0,0,0,1,0,46
